,Facility Name,Resident Weeks,Covid Infections,Facility Infection Rate,County Infection Rate,Infection Score,Final Payment,Infection Rate,Rate Ratio
25579,RIDGEWOOD HEALTH CAMPUS,250.0,0,0.0,0.48,0.12,15250,0.0,0.0
25580,BRIDGEWATER HEALTHCARE CENTER,406.0,0,0.0,0.78,0.32,48943,0.0,0.0
25581,BLAIR RIDGE HEALTH CAMPUS,180.0,0,0.0,0.86,0.15,19844,0.0,0.0
25582,HAMILTON TRACE OF FISHERS,353.0,0,0.0,0.78,0.28,35461,0.0,0.0
25583,AVALON SPRINGS HEALTH CAMPUS,184.0,0,0.0,0.69,0.13,16358,0.0,0.0
25584,ASPEN PLACE HEALTH CAMPUS,216.0,0,0.0,0.58,0.13,16183,0.0,0.0
25585,ASHTON CREEK HEALTH AND REHABILITATION CENTER,387.0,0,0.0,0.88,0.34,52734,0.0,0.0
25586,TRANSCENDENT HEALTHCARE OF BOONVILLE - NORTH,189.0,0,0.0,2.31,0.44,55942,0.0,0.0
25587,PROVIDENCE HEALTH CARE CENTER,246.0,0,0.0,1.39,0.34,43887,0.0,0.0
25588,HAMILTON POINTE HEALTH AND REHAB,280.0,0,0.0,2.31,0.65,82877,0.0,0.0
25589,SPRENGER HEALTH CARE OF MISHAWAKA,192.0,0,0.0,1.36,0.26,33482,0.0,0.0
25590,WELLBROOKE OF WABASH,194.0,0,0.0,0.54,0.1,13458,0.0,0.0
25591,RURAL HEALTH CARE CENTER,176.0,0,0.0,0.8,0.14,18262,0.0,0.0
25592,WELLBROOKE OF WESTFIELD,171.0,0,0.0,0.78,0.13,17178,0.0,0.0
25593,GREY STONE HEALTH & REHABILITATION CENTER,309.0,0,0.0,0.88,0.27,42105,0.0,0.0
25594,VERNON HEALTH & REHABILITATION,230.0,0,0.0,0.54,0.12,15956,0.0,0.0
25595,WELLBROOKE OF AVON,194.0,0,0.0,0.8,0.15,19842,0.0,0.0
25596,WELLBROOKE OF CRAWFORDSVILLE,206.0,0,0.0,0.57,0.12,15176,0.0,0.0
25597,BROOKE KNOLL VILLAGE,287.0,0,0.0,0.66,0.19,29140,0.0,0.0
25598,CLEARVISTA LAKE HEALTH CAMPUS,182.0,0,0.0,0.8,0.15,19258,0.0,0.0
25599,ARLINGTON PLACE HEALTH CAMPUS,154.0,0,0.0,0.8,0.12,15751,0.0,0.0
25600,"BARRINGTON OF CARMEL, THE",109.0,0,0.0,0.78,0.09,10950,0.0,0.0
25601,HEARTHSTONE HEALTH CAMPUS,208.0,0,0.0,2.58,0.54,68990,0.0,0.0
25602,UNIVERSITY NURSING AND REHABILITATION CENTER,177.0,0,0.0,1.6,0.28,36285,0.0,0.0
25603,ASPEN TRACE HEALTH & LIVING COMMUNITY,394.0,0,0.0,0.5,0.2,25263,0.0,0.0
25604,SOUTHPOINTE HEALTHCARE CENTER,341.0,0,0.0,0.8,0.27,34877,0.0,0.0
25605,ST AUGUSTINE HOME FOR THE AGED,137.0,0,0.0,0.8,0.11,14012,0.0,0.0
25606,EVERGREEN CROSSING AND THE LOFTS,373.0,0,0.0,0.8,0.3,38150,0.0,0.0
25607,SAGE BLUFF HEALTH & REHAB CENTER,179.0,0,0.0,0.88,0.16,20326,0.0,0.0
25608,"HERITAGE OF FORT WAYNE, THE",199.0,0,0.0,0.88,0.18,22597,0.0,0.0
25609,"SPRINGS AT LAFAYETTE, THE",179.0,0,0.0,1.22,0.22,27971,0.0,0.0
25610,BRIARCLIFF HEALTH & REHABILITATION CENTER,254.0,0,0.0,1.36,0.35,46918,0.0,0.0
25611,WITHAM EXTENDED CARE,39.0,0,0.0,0.57,0.02,2841,0.0,0.0
25612,WELLBROOKE OF CARMEL,185.0,0,0.0,0.78,0.14,22301,0.0,0.0
25613,GOLDEN LIVING CENTER - WILLOW SPRINGS,291.0,0,0.0,0.8,0.23,29763,0.0,0.0
25614,SYMPHONY OF CROWN POINT  LLC,281.0,0,0.0,0.8,0.22,29066,0.0,0.0
25615,"VILLAGES AT OAK RIDGE, THE",153.0,0,0.0,1.48,0.23,29930,0.0,0.0
25616,STONECROFT HEALTH CAMPUS,142.0,0,0.0,2.58,0.37,47099,0.0,0.0
25617,COPPER TRACE HEALTH & LIVING COMMUNITY,355.0,0,0.0,0.78,0.28,42795,0.0,0.0
25618,"SPRINGS OF MOORESVILLE, THE",138.0,0,0.0,0.5,0.07,10707,0.0,0.0
25619,"SPRINGS OF RICHMOND, THE",193.0,0,0.0,0.96,0.18,25397,0.0,0.0
25620,SIMMONS LOVING CARE HEALTH FACILITY,86.0,0,0.0,0.8,0.07,8784,0.0,0.0
25621,SILVER MEMORIES HEALTH CARE,106.0,0,0.0,0.53,0.06,7207,0.0,0.0
25622,ENMOTION RECOVERY CARE,20.0,0,0.0,0.66,0.01,2031,0.0,0.0
25623,RIVER TERRACE HEALTH CAMPUS,156.0,0,0.0,0.33,0.05,6664,0.0,0.0
25624,BELLTOWER HEALTH & REHABILITATION CENTER,283.0,0,0.0,1.36,0.38,49352,0.0,0.0
25625,ORCHARD POINTE HEALTH CAMPUS,185.0,0,0.0,0.65,0.12,15421,0.0,0.0
25626,HARRISON SPRINGS HEALTH CAMPUS,181.0,0,0.0,0.68,0.12,15772,0.0,0.0
25627,PARK PLACE HEALTH AND WELLNESS CENTER,186.0,0,0.0,0.8,0.15,18997,0.0,0.0
25628,NORTH RIVER HEALTH CAMPUS,173.0,0,0.0,1.6,0.28,35465,0.0,0.0
25629,GREEN HOUSE VILLAGE OF GOSHEN,177.0,0,0.0,1.32,0.23,30091,0.0,0.0
25630,TRANQUILITY NURSING AND REHAB,106.0,0,0.0,0.8,0.08,10842,0.0,0.0
25631,"RESTORACY OF WHITESTOWN, THE",150.0,0,0.0,0.57,0.09,10928,0.0,0.0
25632,ESPECIALLY KIDZ HEALTH & REHAB,516.0,0,0.0,0.51,0.27,34062,0.0,0.0
25633,BROOKSIDE CARE STRATEGIES,167.0,0,0.0,1.85,0.31,39728,0.0,0.0
25634,HILDEGARD HEALTH CENTER,66.0,0,0.0,0.9,0.06,7633,0.0,0.0
25635,MORGANTOWN HEALTH CARE,133.0,0,0.0,0.5,0.07,8599,0.0,0.0
25636,MANORCARE HEALTH SERVICES,268.0,0,0.0,1.18,0.32,40596,0.0,0.0
25637,CHAUTAUQUA GUEST HOME #2,184.0,0,0.0,2.17,0.4,52196,0.0,0.0
25638,OAKNOLL RETIREMENT RESIDENCE,186.0,0,0.0,2.35,0.44,56046,0.0,0.0
25639,MANORCARE HEALTH SERVICES,245.0,0,0.0,1.2,0.29,37828,0.0,0.0
25640,MANORCARE HEALTH SERVICES,303.0,0,0.0,1.4,0.42,54318,0.0,0.0
25641,GOOD SHEPHERD HEALTH CENTER,613.0,0,0.0,1.41,0.86,132919,0.0,0.0
25642,SHADY OAKS,203.0,0,0.0,1.53,0.31,39759,0.0,0.0
25643,GREAT RIVER KLEIN CENTER,419.0,0,0.0,1.55,0.65,100216,0.0,0.0
25644,STRAWBERRY POINT LUTHERAN HOME,60.0,0,0.0,1.04,0.06,8010,0.0,0.0
25645,ROWLEY MEMORIAL MASONIC HOME,145.0,0,0.0,1.14,0.16,21164,0.0,0.0
25646,MISSISSIPPI VALLEY,285.0,0,0.0,1.78,0.51,64952,0.0,0.0
25647,SALEM LUTHERAN HOME,217.0,0,0.0,1.13,0.25,31618,0.0,0.0
25648,FORT DODGE HEALTH AND REHABILITATION,242.0,0,0.0,1.83,0.44,56892,0.0,0.0
25649,SIOUX CENTER HEALTH  ROYALE MEADOWS,266.0,1,3.76,5.35,0.42,65210,3.7593984962406015,0.702803738317757
25650,AZRIA HEALTH CLARINDA,161.0,0,0.0,0.98,0.16,20180,0.0,0.0
25651,THE VILLAGE,166.0,0,0.0,0.92,0.15,19565,0.0,0.0
25652,WILLOW GARDENS CARE CENTER,246.0,0,0.0,1.18,0.29,40337,0.0,0.0
25653,BRIARWOOD HEALTHCARE CENTER,204.0,0,0.0,2.35,0.48,61469,0.0,0.0
25654,OSAGE REHAB AND HEALTH CARE CENTER,149.0,0,0.0,1.98,0.3,37945,0.0,0.0
25655,CASA DE PAZ HEALTH CARE CENTER,193.0,0,0.0,3.29,0.64,81582,0.0,0.0
25656,MERCYONE OELWEIN SENIOR CARE,123.0,0,0.0,1.09,0.13,17277,0.0,0.0
25657,COMMUNITY MEMORIAL HEALTH CENTER,258.0,0,0.0,3.38,0.87,111985,0.0,0.0
25658,NORWALK NURSING AND REHABILITATION CENTER,147.0,0,0.0,0.92,0.13,20790,0.0,0.0
25659,ODEBOLT SPECIALTY CARE,87.0,0,0.0,3.6,0.31,40213,0.0,0.0
25660,ROCK RAPIDS HEALTH CENTRE,152.0,0,0.0,3.79,0.58,73870,0.0,0.0
25661,MERCYONE NORTH IOWA MEDICAL SERVICES,77.0,0,0.0,1.41,0.11,14254,0.0,0.0
25662,RED OAK REHAB AND CARE CENTER,113.0,0,0.0,0.53,0.06,7680,0.0,0.0
25663,GOOD SAMARITAN SOCIETY - INDIANOLA,348.0,0,0.0,0.92,0.32,41015,0.0,0.0
25664,GOOD SAMARITAN SOCIETY - WEST UNION,148.0,0,0.0,1.09,0.16,20788,0.0,0.0
25665,AZRIA HEALTH WINTERSET,186.0,0,0.0,0.86,0.16,20461,0.0,0.0
25666,GOOD SAMARITAN SOCIETY - VILLISCA,127.0,0,0.0,0.53,0.07,8631,0.0,0.0
25667,GOOD SAMARITAN SOCIETY - ALGONA,282.0,0,0.0,2.58,0.73,93481,0.0,0.0
25668,GOOD SAMARITAN SOCIETY - RED OAK,172.0,0,0.0,0.53,0.09,11689,0.0,0.0
25669,GOOD SAMARITAN SOCIETY - ESTHERVILLE,230.0,0,0.0,1.25,0.29,36876,0.0,0.0
25670,DUNLAP SPECIALTY CARE,214.0,0,0.0,1.48,0.32,40576,0.0,0.0
25671,GRANDVIEW HEALTH CARE CENTER,106.0,0,0.0,1.83,0.19,24920,0.0,0.0
25672,IOWA CITY REHAB & HEALTH CARE,246.0,0,0.0,2.35,0.58,74125,0.0,0.0
25673,CRESTON SPECIALTY CARE,228.0,0,0.0,0.92,0.21,26900,0.0,0.0
25674,AZRIA HEALTH PARK PLACE,224.0,0,0.0,1.38,0.31,39630,0.0,0.0
25675,WESTMONT HEALTHCARE COMMUNITY,77.0,0,0.0,1.48,0.11,14600,0.0,0.0
25676,KEOSAUQUA HEALTH CARE CENTER,206.0,0,0.0,0.5,0.1,13140,0.0,0.0
25677,GOOD SAMARITAN SOCIETY - LEMARS,176.0,0,0.0,4.24,0.75,114959,0.0,0.0
25678,MORNINGSIDE CARE CENTER,70.0,0,0.0,2.99,0.21,27733,0.0,0.0
25679,GOOD SAMARITAN SOCIETY - HOLSTEIN,183.0,0,0.0,2.99,0.55,70205,0.0,0.0
25680,GOOD SAMARITAN SOCIETY - SAINT ANSGAR,162.0,0,0.0,1.98,0.32,41256,0.0,0.0
25681,LANTERN PARK SPECIALTY CARE,302.0,0,0.0,2.35,0.71,90999,0.0,0.0
25682,CARING ACRES NURSING & REHAB CENTER,118.0,0,0.0,1.11,0.13,16817,0.0,0.0
25683,LAURENS CARE CENTER,123.0,0,0.0,1.13,0.14,17892,0.0,0.0
25684,AZRIA HEALTH PRAIRIE RIDGE,183.0,0,0.0,1.55,0.28,36475,0.0,0.0
25685,CORYDON SPECIALTY CARE,251.0,0,0.0,1.55,0.39,50027,0.0,0.0
25686,RIDGEWOOD SPECIALTY CARE,191.0,0,0.0,1.85,0.35,45402,0.0,0.0
25687,MOUNT AYR HEALTH CARE CENTER,152.0,0,0.0,0.97,0.15,18939,0.0,0.0
25688,MANLY SPECIALTY CARE,106.0,0,0.0,0.98,0.1,13366,0.0,0.0
25689,THE MADISON,241.0,0,0.0,1.78,0.43,54924,0.0,0.0
25690,DUBUQUE SPECIALTY CARE,218.0,0,0.0,3.19,0.7,89370,0.0,0.0
25691,OAKLAND MANOR,104.0,0,0.0,1.4,0.15,22432,0.0,0.0
25692,REGENCY PARK NURSING & REHAB CENTER OF CARROLL,121.0,0,0.0,3.72,0.45,67962,0.0,0.0
25693,FRIENDSHIP HOME ASSOCIATION,129.0,0,0.0,1.96,0.25,38870,0.0,0.0
25694,REGENCY PARK NURSING & REHAB CENTER OF JEFFERSON,168.0,0,0.0,1.35,0.23,29119,0.0,0.0
25695,PARKVIEW MANOR,190.0,0,0.0,1.43,0.27,41976,0.0,0.0
25696,LENOX CARE CENTER,91.0,0,0.0,0.74,0.07,8588,0.0,0.0
25697,GOOD SAMARITAN SOCIETY - MANSON,110.0,0,0.0,1.53,0.17,21544,0.0,0.0
25698,GOOD SAMARITAN SOCIETY - FONTANELLE,156.0,0,0.0,0.8,0.13,16101,0.0,0.0
25699,GOOD SAMARITAN SOCIETY - POSTVILLE,178.0,0,0.0,1.64,0.29,38609,0.0,0.0
25700,GOOD SAMARITAN SOCIETY - WAUKON,202.0,0,0.0,1.64,0.33,43189,0.0,0.0
25701,GRUNDY CARE CENTER,123.0,0,0.0,1.96,0.24,36133,0.0,0.0
25702,HILLCREST HEALTH CARE CENTER,190.0,0,0.0,5.35,1.02,130513,0.0,0.0
25703,GOOD SAMARITAN SOCIETY - GEORGE,112.0,0,0.0,3.79,0.42,64869,0.0,0.0
25704,PLEASANT ACRES CARE CENTER,102.0,0,0.0,5.35,0.55,70065,0.0,0.0
25705,WESTVIEW ACRES CARE CENTER,167.0,0,0.0,0.79,0.13,17026,0.0,0.0
25706,"OAKVIEW, INC.",156.0,0,0.0,1.96,0.31,39294,0.0,0.0
25707,CARLISLE CENTER FOR WELLNESS AND REHAB,234.0,0,0.0,0.92,0.21,33090,0.0,0.0
25708,ELMWOOD CARE CENTRE,165.0,0,0.0,1.36,0.23,28890,0.0,0.0
25709,THORNTON MANOR NURSING AND CARE CENTER,147.0,0,0.0,1.64,0.24,31022,0.0,0.0
25710,DONNELLSON HEALTH CENTER,195.0,0,0.0,1.78,0.35,47310,0.0,0.0
25711,MILL-POND,191.0,0,0.0,1.38,0.26,33791,0.0,0.0
25712,TRU REHAB OF GRINNELL,112.0,0,0.0,1.55,0.17,22340,0.0,0.0
25713,MECHANICSVILLE SPECIALTY CARE,111.0,0,0.0,1.28,0.14,18169,0.0,0.0
25714,HOLY SPIRIT RETIREMENT HOME,265.0,0,0.0,3.29,0.87,134420,0.0,0.0
25715,REHABILITATION CENTER OF DES MOINES,279.0,0,0.0,1.38,0.38,50585,0.0,0.0
25716,CLEARVIEW HOME,261.0,0,0.0,0.97,0.25,32520,0.0,0.0
25717,STRATFORD SPECIALTY CARE,153.0,0,0.0,0.81,0.12,15955,0.0,0.0
25718,WESTWOOD SPECIALTY CARE,274.0,0,0.0,3.29,0.9,115821,0.0,0.0
25719,UNIVERSITY PARK NURSING & REHABILITATION CENTER,345.0,0,0.0,1.38,0.48,61037,0.0,0.0
25720,CREST HAVEN CARE CENTRE,116.0,0,0.0,0.92,0.11,13686,0.0,0.0
25721,BETTENDORF HEALTH CARE CENTER,191.0,0,0.0,1.2,0.23,29490,0.0,0.0
25722,ON WITH LIFE AT GLENWOOD,121.0,0,0.0,0.86,0.1,13365,0.0,0.0
25723,VALLEY VIEW SPECIALTY CARE,82.0,0,0.0,1.07,0.09,13498,0.0,0.0
25724,SUNNY KNOLL CARE CENTRE,75.0,0,0.0,1.53,0.11,14689,0.0,0.0
25725,CORNING SPECIALTY CARE,128.0,0,0.0,0.76,0.1,12545,0.0,0.0
25726,CRESTVIEW SPECIALTY CARE,225.0,0,0.0,1.28,0.29,36829,0.0,0.0
25727,ATLANTIC SPECIALTY CARE,262.0,0,0.0,1.11,0.29,37340,0.0,0.0
25728,NORTH CREST LIVING CENTER,199.0,0,0.0,1.4,0.28,35769,0.0,0.0
25729,BEDFORD SPECIALTY CARE,97.0,0,0.0,0.74,0.07,9155,0.0,0.0
25730,SOUTHERN HILLS SPECIALTY CARE,352.0,0,0.0,0.75,0.26,33669,0.0,0.0
25731,AVOCA SPECIALTY CARE,132.0,0,0.0,1.4,0.18,24477,0.0,0.0
25732,MONTEZUMA SPECIALTY CARE,84.0,0,0.0,1.55,0.13,16755,0.0,0.0
25733,PLEASANT VIEW CARE CENTER,276.0,0,0.0,1.36,0.38,48326,0.0,0.0
25734,LAPORTE CITY SPECIALTY CARE,160.0,0,0.0,1.4,0.22,28683,0.0,0.0
25735,LINN HAVEN REHAB & HEALTHCARE,190.0,0,0.0,3.06,0.58,74607,0.0,0.0
25736,ABCM REHAB CENTERS OF INDEPENDENCE WEST CAMPUS,144.0,0,0.0,1.31,0.19,24226,0.0,0.0
25737,MONTROSE HEALTH CENTER,119.0,0,0.0,1.78,0.21,27120,0.0,0.0
25738,CHARITON SPECIALTY CARE,150.0,0,0.0,1.83,0.27,39837,0.0,0.0
25739,PARKVIEW CARE CENTER,195.0,0,0.0,0.3,0.06,7526,0.0,0.0
25740,SHELL ROCK SENIOR LIVING,145.0,0,0.0,1.25,0.18,23205,0.0,0.0
25741,ACCURA HEALTHCARE OF LE MARS,129.0,0,0.0,4.24,0.55,70216,0.0,0.0
25742,FONDA SPECIALTY CARE,151.0,0,0.0,1.13,0.17,21965,0.0,0.0
25743,OAKWOOD SPECIALTY CARE,155.0,0,0.0,1.78,0.28,42601,0.0,0.0
25744,LAMONI SPECIALTY CARE,112.0,0,0.0,0.79,0.09,11418,0.0,0.0
25745,ELDORA SPECIALTY CARE,106.0,0,0.0,1.07,0.11,14540,0.0,0.0
25746,"ZEARING HEALTH CARE, LLC",109.0,0,0.0,2.84,0.31,39767,0.0,0.0
25747,COTTAGE GROVE PLACE,166.0,0,0.0,1.18,0.2,30174,0.0,0.0
25748,CORRECTIONVILLE SPECIALTY CARE,118.0,0,0.0,3.29,0.39,49879,0.0,0.0
25749,"ACCURA HEALTHCARE OF PLEASANTVILLE, LLC",192.0,0,0.0,2.24,0.43,55222,0.0,0.0
25750,MANOR HOUSE CARE CENTER,180.0,0,0.0,1.24,0.22,28755,0.0,0.0
25751,BLOOMFIELD CARE CENTER,247.0,0,0.0,1.19,0.3,37875,0.0,0.0
25752,SUNRISE TERRACE NURSING & REHABILITATION CENTER,105.0,0,0.0,5.86,0.62,79037,0.0,0.0
25753,MORNING SUN CARE CENTER,132.0,0,0.0,0.75,0.1,12669,0.0,0.0
25754,ACCURA HEALTHCARE OF STANTON,142.0,0,0.0,0.53,0.08,9651,0.0,0.0
25755,HALLMARK CARE CENTER,152.0,0,0.0,1.18,0.18,23024,0.0,0.0
25756,REHABILITATION CENTER OF ALLISON,107.0,0,0.0,1.25,0.13,17124,0.0,0.0
25757,ABCM REHAB CENTERS OF INDEPENDENCE EAST CAMPUS,132.0,0,0.0,1.31,0.17,22207,0.0,0.0
25758,NORTHGATE CARE CENTER,167.0,0,0.0,1.64,0.27,35243,0.0,0.0
25759,DUMONT WELLNESS CENTER,108.0,0,0.0,1.25,0.13,17284,0.0,0.0
25760,GRANDVIEW HEALTHCARE CENTER,193.0,0,0.0,1.09,0.21,27109,0.0,0.0
25761,OELWEIN HEALTH CARE CENTER,206.0,0,0.0,1.09,0.23,28935,0.0,0.0
25762,WILLOW DALE WELLNESS VILLAGE,149.0,0,0.0,2.99,0.45,57161,0.0,0.0
25763,PARK VIEW REHABILITATION CENTER,165.0,0,0.0,3.6,0.59,76265,0.0,0.0
25764,MAPLE MANOR VILLAGE,109.0,0,0.0,1.25,0.14,17444,0.0,0.0
25765,BELLE PLAINE SPECIALTY CARE,146.0,0,0.0,1.1,0.16,20647,0.0,0.0
25766,FOUNTAIN WEST HEALTH CENTER,255.0,0,0.0,1.38,0.35,54137,0.0,0.0
25767,GRISWOLD REHABILITATION & HEALTH CARE CENTER,133.0,0,0.0,1.11,0.15,22746,0.0,0.0
25768,VALLEY VUE CARE CENTER,116.0,0,0.0,1.25,0.14,22318,0.0,0.0
25769,KEOTA HEALTH CARE CENTER,135.0,0,0.0,1.24,0.17,22017,0.0,0.0
25770,VALLEY VIEW COMMUNITY,83.0,0,0.0,1.25,0.1,13283,0.0,0.0
25771,METHODIST MANOR RETIREMENT COM,350.0,0,0.0,2.12,0.74,95039,0.0,0.0
25772,ROLLING GREEN VILLAGE CARE CEN,197.0,0,0.0,2.84,0.56,71873,0.0,0.0
25773,CLARION WELLNESS AND REHABILITATION CENTER,162.0,0,0.0,1.49,0.24,34998,0.0,0.0
25774,WESTVIEW CARE CENTER,216.0,0,0.0,0.75,0.16,20869,0.0,0.0
25775,CONCORD CARE CENTER,180.0,0,0.0,0.75,0.14,17391,0.0,0.0
25776,HERITAGE CARE AND REHABILITATION CENTER,254.0,0,0.0,1.41,0.36,45896,0.0,0.0
25777,WESTVIEW OF INDIANOLA CARE CENTER,251.0,0,0.0,0.92,0.23,29583,0.0,0.0
25778,MANILLA MANOR,108.0,0,0.0,3.86,0.42,54412,0.0,0.0
25779,MILL VALLEY CARE CENTER,152.0,0,0.0,1.86,0.28,36388,0.0,0.0
25780,ANAMOSA CARE CENTER,219.0,0,0.0,1.27,0.28,39688,0.0,0.0
25781,"RIVERVIEW MANOR HEALTHCARE, LLC",149.0,0,0.0,1.2,0.18,23006,0.0,0.0
25782,WHEATLAND MANOR,152.0,0,0.0,1.65,0.25,32257,0.0,0.0
25783,EDGEWOOD CONVALESCENT HOME,198.0,0,0.0,1.04,0.21,26434,0.0,0.0
25784,REHABILITATION CENTER OF BELMOND,149.0,0,0.0,1.49,0.22,28550,0.0,0.0
25785,SIGOURNEY HEALTH CARE,80.0,0,0.0,1.24,0.1,15336,0.0,0.0
25786,"ACCURA HEALTHCARE OF KNOXVILLE, LLC",218.0,0,0.0,2.24,0.49,62700,0.0,0.0
25787,GREENFIELD REHABILITATION & HEALTH CARE CENTER,144.0,0,0.0,0.8,0.12,17835,0.0,0.0
25788,SHEFFIELD CARE CENTER,104.0,0,0.0,1.37,0.14,21876,0.0,0.0
25789,COLONIAL MANOR OF ELMA,128.0,0,0.0,1.58,0.2,26017,0.0,0.0
25790,PEARL VALLEY REHABILITATION AND NURSING AT PRIMGHA,115.0,0,0.0,3.38,0.39,49916,0.0,0.0
25791,LONE TREE HEALTH CARE CENTER,133.0,0,0.0,2.35,0.31,40076,0.0,0.0
25792,ST LUKE'S HELEN G NASSIF TRANSITIONAL CARE CENTER,73.0,0,0.0,1.18,0.09,11058,0.0,0.0
25793,STATE CENTER SPECIALTY CARE,79.0,0,0.0,0.97,0.08,9853,0.0,0.0
25794,ELKADER CARE CENTER,138.0,0,0.0,1.04,0.14,18424,0.0,0.0
25795,HERITAGE CARE CENTER,161.0,0,0.0,1.07,0.17,22084,0.0,0.0
25796,HEARTLAND CARE CENTER,102.0,0,0.0,2.45,0.25,32051,0.0,0.0
25797,REGENCY CARE CENTER,277.0,0,0.0,0.92,0.25,32647,0.0,0.0
25798,SIBLEY SPECIALTY CARE,144.0,0,0.0,2.64,0.38,48868,0.0,0.0
25799,ACCURA HEALTHCARE OF  MILFORD,156.0,0,0.0,1.51,0.24,30171,0.0,0.0
25800,NEW LONDON SPECIALTY CARE,131.0,0,0.0,5.86,0.77,98608,0.0,0.0
25801,HAPPY SIESTA NURSING HOME,211.0,0,0.0,4.24,0.89,129011,0.0,0.0
25802,ROCKWELL COMMUNITY NURSING HOM,96.0,0,0.0,1.41,0.14,17347,0.0,0.0
25803,ACCURA HEALTHCARE OF BANCROFT,96.0,0,0.0,2.58,0.25,31823,0.0,0.0
25804,SOUTHFIELD WELLNESS COMMUNITY,262.0,0,0.0,0.81,0.21,27321,0.0,0.0
25805,EXIRA CARE CENTER,185.0,0,0.0,1.96,0.36,46454,0.0,0.0
25806,PLEASANT VIEW HOME,113.0,0,0.0,2.12,0.24,30684,0.0,0.0
25807,"ACCURA HEALTHCARE OF POMEROY, LLC",105.0,0,0.0,1.53,0.16,20565,0.0,0.0
25808,"ACCURA HEALTHCARE OF NEWTON WEST, LLC",134.0,0,0.0,1.76,0.24,32295,0.0,0.0
25809,"ACCURA HEALTHCARE OF AMES, LLC",224.0,0,0.0,2.84,0.64,96846,0.0,0.0
25810,BETHANY LIFE,532.0,0,0.0,2.84,1.51,194093,0.0,0.0
25811,"ACCURA HEALTHCARE OF CHEROKEE, LLC",155.0,0,0.0,2.45,0.38,48705,0.0,0.0
25812,"PEARL VALLEY REHABILITATION AND NURSING AT PERRY,",100.0,0,0.0,1.14,0.11,14596,0.0,0.0
25813,NEWTON HEALTH CARE CENTER,194.0,0,0.0,1.76,0.34,52643,0.0,0.0
25814,CAREAGE HILLS REHABILITATION AND HEALTHCARE,144.0,0,0.0,2.45,0.35,45249,0.0,0.0
25815,TITONKA CARE CENTER,104.0,0,0.0,2.58,0.27,34475,0.0,0.0
25816,LUTHERAN LIVING SENIOR CAMPUS,515.0,0,0.0,0.91,0.47,60436,0.0,0.0
25817,"ACCURA HEALTHCARE OF OGDEN, LLC",165.0,0,0.0,1.58,0.26,33844,0.0,0.0
25818,"ACCURA HEALTHCARE OF SIOUX CITY, LLC",137.0,0,0.0,3.29,0.45,57910,0.0,0.0
25819,IVY AT DAVENPORT,235.0,0,0.0,1.2,0.28,36284,0.0,0.0
25820,MAPLE CREST MANOR,176.0,0,0.0,1.09,0.19,24721,0.0,0.0
25821,STACYVILLE COMMUNITY NURSING HOME,95.0,0,0.0,1.98,0.19,24193,0.0,0.0
25822,OAKVIEW NURSING AND REHABILITATION,200.0,0,0.0,1.55,0.31,39863,0.0,0.0
25823,SUNNY VIEW CARE CENTER,256.0,0,0.0,1.38,0.35,45291,0.0,0.0
25824,WOODLAND TERRACE,370.0,0,0.0,2.01,0.74,96175,0.0,0.0
25825,WEST BEND HEALTH AND REHABILITATION,130.0,0,0.0,2.56,0.33,50146,0.0,0.0
25826,PEARL VALLEY REHABILITATION AND NURSING AT LAKE PA,96.0,0,0.0,1.51,0.14,18567,0.0,0.0
25827,MIDLANDS LIVING CENTER L L C,303.0,0,0.0,1.4,0.42,54462,0.0,0.0
25828,PREMIER ESTATES OF TOLEDO,220.0,0,0.0,1.44,0.32,42409,0.0,0.0
25829,ACCURA HEALTHCARE OF MARSHALLTOWN,236.0,0,0.0,0.97,0.23,32150,0.0,0.0
25830,WAPELLO SPECIALTY CARE,146.0,0,0.0,0.75,0.11,14013,0.0,0.0
25831,PEARL VALLEY REHABILITATION & HEALTHCARE CENTER O,212.0,0,0.0,1.43,0.3,39030,0.0,0.0
25832,ACCURA HEALTHCARE OF CARROLL,229.0,0,0.0,3.72,0.85,109341,0.0,0.0
25833,PEARL VALLEY REHABILITATION AND NURSING AT SUTHERL,100.0,0,0.0,3.38,0.34,43405,0.0,0.0
25834,CRESTVIEW NURSING & REHAB,184.0,0,0.0,0.81,0.15,19187,0.0,0.0
25835,NEWALDAYA LIFESCAPES,474.0,0,0.0,1.4,0.66,84973,0.0,0.0
25836,RISEN SON CHRISTIAN VILLAGE,234.0,0,0.0,1.4,0.33,50472,0.0,0.0
25837,EASTERN STAR MASONIC HOME,207.0,0,0.0,1.58,0.33,42038,0.0,0.0
25838,PLEASANTVIEW HOME,206.0,0,0.0,1.43,0.3,37926,0.0,0.0
25839,STONEHILL CARE CENTER,735.0,0,0.0,3.19,2.35,304788,0.0,0.0
25840,SCENIC MANOR,222.0,0,0.0,1.07,0.24,30452,0.0,0.0
25841,THE AMBASSADOR SIDNEY INC,127.0,0,0.0,2.3,0.29,37480,0.0,0.0
25842,WELLINGTON PLACE,196.0,0,0.0,1.5,0.29,37760,0.0,0.0
25843,COLONIAL MANORS OF COLUMBUS COMMUNITY,153.0,0,0.0,0.75,0.11,17621,0.0,0.0
25844,ARBOR COURT,174.0,0,0.0,5.86,1.02,130976,0.0,0.0
25845,ST FRANCIS MANOR,194.0,0,0.0,1.55,0.3,38695,0.0,0.0
